StopCountIteration,Stop,Address,Location,Route Number,Direction
1,381,Park Avenue,St. John's Church,1,From Sandymount (St. John's Church) To Santry (Shanard Rd.)
2,382,St. John's Road,Seamount House,1,From Sandymount (St. John's Church) To Santry (Shanard Rd.)
3,4451,Strand Road,St. John's Road,1,From Sandymount (St. John's Church) To Santry (Shanard Rd.)
4,383,Strand Road,Gilford Road,1,From Sandymount (St. John's Church) To Santry (Shanard Rd.)
5,384,Strand Road,Lea Road,1,From Sandymount (St. John's Church) To Santry (Shanard Rd.)
6,385,Newgrove Ave,Strand Road,1,From Sandymount (St. John's Church) To Santry (Shanard Rd.)
7,387,Sandymount Rd,Claremont Road,1,From Sandymount (St. John's Church) To Santry (Shanard Rd.)
8,388,Sandymount Rd,Farney Park,1,From Sandymount (St. John's Church) To Santry (Shanard Rd.)
9,389,Sandymount Rd,Leahy's Terrace,1,From Sandymount (St. John's Church) To Santry (Shanard Rd.)
10,393,Tritonville Road,Cranfield Place,1,From Sandymount (St. John's Church) To Santry (Shanard Rd.)
11,371,Irishtown Rd,Gospel Hall,1,From Sandymount (St. John's Church) To Santry (Shanard Rd.)
12,391,Irishtown Rd,Bath Street,1,From Sandymount (St. John's Church) To Santry (Shanard Rd.)
13,392,Bridge Street,St. Patrick's Church,1,From Sandymount (St. John's Church) To Santry (Shanard Rd.)
14,395,Ringsend Road,Barrow Street,1,From Sandymount (St. John's Church) To Santry (Shanard Rd.)
15,396,Pearse Street,Grand Canal Quay,1,From Sandymount (St. John's Church) To Santry (Shanard Rd.)
16,397,Pearse Street,Pearse Square Pk,1,From Sandymount (St. John's Church) To Santry (Shanard Rd.)
17,398,Pearse Street,Erne Street,1,From Sandymount (St. John's Church) To Santry (Shanard Rd.)
18,399,Pearse Street,Westland Row,1,From Sandymount (St. John's Church) To Santry (Shanard Rd.)
19,400,Pearse Street,Shaw Street,1,From Sandymount (St. John's Church) To Santry (Shanard Rd.)
20,319,Westmoreland Street,Fleet Street,1,From Sandymount (St. John's Church) To Santry (Shanard Rd.)
21,278,O'Connell St,Cathal Brugha Street,1,From Sandymount (St. John's Church) To Santry (Shanard Rd.)
22,10,Parnell Square,Rotunda Hospital,1,From Sandymount (St. John's Church) To Santry (Shanard Rd.)
23,12,Dorset St,St. Joseph's Parade,1,From Sandymount (St. John's Church) To Santry (Shanard Rd.)
24,14,Dorset St,Eccles Place,1,From Sandymount (St. John's Church) To Santry (Shanard Rd.)
25,15,Dorset St,North Circular Road,1,From Sandymount (St. John's Church) To Santry (Shanard Rd.)
26,17,Drumcondra Rd,Drumcondra Station,1,From Sandymount (St. John's Church) To Santry (Shanard Rd.)
27,18,Drumcondra Rd,Dargle Road,1,From Sandymount (St. John's Church) To Santry (Shanard Rd.)
28,19,Drumcondra Rd,Botanic Avenue,1,From Sandymount (St. John's Church) To Santry (Shanard Rd.)
29,21,Drumcondra Rd,St. Patrick's College,1,From Sandymount (St. John's Church) To Santry (Shanard Rd.)
30,85,Drumcondra Rd,Home Farm Road,1,From Sandymount (St. John's Church) To Santry (Shanard Rd.)
31,203,Swords Road,Whitehall College,1,From Sandymount (St. John's Church) To Santry (Shanard Rd.)
32,204,Swords Road,Highfield Hospital,1,From Sandymount (St. John's Church) To Santry (Shanard Rd.)
33,205,Swords Road,Iveragh Road,1,From Sandymount (St. John's Church) To Santry (Shanard Rd.)
34,1620,Swords Road,Collins Avenue,1,From Sandymount (St. John's Church) To Santry (Shanard Rd.)
35,220,Swords Road,Shantalla Road,1,From Sandymount (St. John's Church) To Santry (Shanard Rd.)
36,221,Shanowen Rd,Swords Road,1,From Sandymount (St. John's Church) To Santry (Shanard Rd.)
37,222,Shanliss Rd,Shanowen Road,1,From Sandymount (St. John's Church) To Santry (Shanard Rd.)
38,223,Shanliss Rd,Shanliss Avenue,1,From Sandymount (St. John's Church) To Santry (Shanard Rd.)
39,224,Shanard Road,Shanliss Road,1,From Sandymount (St. John's Church) To Santry (Shanard Rd.)
40,225,Shanard Road,Shanowen Avenue,1,From Sandymount (St. John's Church) To Santry (Shanard Rd.)
41,226,Shanard Road,Shanard Avenue,1,From Sandymount (St. John's Church) To Santry (Shanard Rd.)
1,7330,Monkstown Ave,Fitness Centre,4,From Monkstown Avenue Towards Harristown
2,2051,Monkstown Ave,Stradbrook Rd,4,From Monkstown Avenue Towards Harristown
3,6086,Link Road,Deansgrange Road,4,From Monkstown Avenue Towards Harristown
4,3161,Deansgrange Rd,Abbey Road,4,From Monkstown Avenue Towards Harristown
5,3162,Rowan Pk,Rowan Park Ave,4,From Monkstown Avenue Towards Harristown
6,3163,Stradbrook Rd,Stradbrook Cottages,4,From Monkstown Avenue Towards Harristown
7,3164,Stradbrook Rd,Temple Hill,4,From Monkstown Avenue Towards Harristown
8,3084,Frascati Road,Frascati Centre,4,From Monkstown Avenue Towards Harristown
9,469,Rock Road,Mount Merrion Avenue,4,From Monkstown Avenue Towards Harristown
10,470,Rock Road,Blackrock Clinic,4,From Monkstown Avenue Towards Harristown
11,471,Rock Road,Blackrock College,4,From Monkstown Avenue Towards Harristown
12,472,Rock Road,Booterstown Ave,4,From Monkstown Avenue Towards Harristown
13,473,Rock Road,Grotto Avenue,4,From Monkstown Avenue Towards Harristown
14,4705,Rock Road,St Helen's Road,4,From Monkstown Avenue Towards Harristown
15,475,Rock Road,Bellevue Avenue,4,From Monkstown Avenue Towards Harristown
16,476,Rock Road,Merrion Gates,4,From Monkstown Avenue Towards Harristown
17,477,Merrion Road,Estate Avenue,4,From Monkstown Avenue Towards Harristown
18,478,Merrion Road,St. Vincent's Hospital,4,From Monkstown Avenue Towards Harristown
19,479,Merrion Road,Merrion Centre,4,From Monkstown Avenue Towards Harristown
20,480,Merrion Road,Ailesbury Road,4,From Monkstown Avenue Towards Harristown
21,481,Merrion Road,Merlyn Road,4,From Monkstown Avenue Towards Harristown
22,482,Merrion Road,Shrewsbury Road,4,From Monkstown Avenue Towards Harristown
23,483,Merrion Road,Simmonscourt Road,4,From Monkstown Avenue Towards Harristown
24,485,Ballsbridge,RDS,4,From Monkstown Avenue Towards Harristown
25,487,Pembroke Road,American Embassy,4,From Monkstown Avenue Towards Harristown
26,488,Northumberland Rd,Lansdowne Park,4,From Monkstown Avenue Towards Harristown
27,489,Northumberland Rd,St. Mary's Road South,4,From Monkstown Avenue Towards Harristown
28,490,Northumberland Rd,Haddington Road,4,From Monkstown Avenue Towards Harristown
29,491,Mount St,Grand Canal,4,From Monkstown Avenue Towards Harristown
30,492,Grattan St,Merrion Square,4,From Monkstown Avenue Towards Harristown
31,493,Merrion Sq,Holles Street,4,From Monkstown Avenue Towards Harristown
32,494,Clare Street,Lincoln Place,4,From Monkstown Avenue Towards Harristown
33,495,Westland Row,Pearse Station,4,From Monkstown Avenue Towards Harristown
34,400,Pearse Street,Shaw Street,4,From Monkstown Avenue Towards Harristown
35,281,O'Connell St,Dublin Bus,4,From Monkstown Avenue Towards Harristown
36,6,Parnell Square,St. Martin's Chapel,4,From Monkstown Avenue Towards Harristown
37,194,Western Way,Youth Club,4,From Monkstown Avenue Towards Harristown
38,195,Phibsboro Road,Constitution Hill,4,From Monkstown Avenue Towards Harristown
39,196,Phibsboro Road,Broadstone Depot,4,From Monkstown Avenue Towards Harristown
40,197,Phibsboro Road,Monck Place,4,From Monkstown Avenue Towards Harristown
41,198,Phibsboro Road,Phibsboro Shopping Centre,4,From Monkstown Avenue Towards Harristown
42,199,Phibsboro Road,Munster Street,4,From Monkstown Avenue Towards Harristown
43,200,Prospect Way,Prospect Avenue,4,From Monkstown Avenue Towards Harristown
44,201,Botanic Rd,St. Teresa's Place,4,From Monkstown Avenue Towards Harristown
45,148,Mobhi Road,Botanic Road,4,From Monkstown Avenue Towards Harristown
46,149,Mobhi Road,St. Mobhi Drive,4,From Monkstown Avenue Towards Harristown
47,150,Mobhi Road,Home Farm Road,4,From Monkstown Avenue Towards Harristown
48,27,Ballymun Road,Griffith Avenue,4,From Monkstown Avenue Towards Harristown
49,28,Ballymun Road,Glasnevin Tennis Club,4,From Monkstown Avenue Towards Harristown
50,29,Ballymun Road,St. Canice's Road,4,From Monkstown Avenue Towards Harristown
51,4680,Ballymun Road,DCU,4,From Monkstown Avenue Towards Harristown
52,90,Ballymun Road,St. Pappin's Road,4,From Monkstown Avenue Towards Harristown
53,91,Ballymun Road,Glasnevin Avenue,4,From Monkstown Avenue Towards Harristown
54,92,Ballymun Road,Ballymun Library,4,From Monkstown Avenue Towards Harristown
55,93,Ballymun Road,Shanliss Road,4,From Monkstown Avenue Towards Harristown
56,94,Ballymun Road,Silloge Road,4,From Monkstown Avenue Towards Harristown
57,126,Ballymun Road,Nursing Home,4,From Monkstown Avenue Towards Harristown
58,6182,Ballymun Road,Santry Cross,4,From Monkstown Avenue Towards Harristown
59,322,Ballymun Road,Gulliver's Retail Park,4,From Monkstown Avenue Towards Harristown
60,323,Ballymun Road,Silloge Golf Club,4,From Monkstown Avenue Towards Harristown
61,332,Harristown,Bus Garage,4,From Monkstown Avenue Towards Harristown
1,5047,Wyattville Road,Druid Valley,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
2,3222,Loughlinstown Pk,Loughlinstown Wood,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
3,3223,Loughlinstown Drive,FAS Centre,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
4,3224,Wyattville Road,Ashlawn Park,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
5,3225,Church7 Rd,Willow Vale,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
6,3226,Church7 Rd,Granville Road,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
7,3227,Church7 Rd,Church7 Ave,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
8,3228,Church7 Rd,Church Road,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
9,3229,Church Road,Church7 Rd,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
10,7472,Rochestown Ave,Shopping Centre,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
11,3230,Rochestown Ave,Drumkeen Manor,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
12,3232,Pearse Villas,Rochestown Park,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
13,3233,Pearse Street,Pearse Villas,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
14,3234,Pearse Street,Pearse Avenue,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
15,4462,Pearse Street,Park Close,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
16,3235,Pearse Street,Pearse Park,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
17,3236,Sallynoggin Road,O'Donnell Gardens,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
18,3237,Sallynoggin Road,Sarsfield Street,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
19,3238,Glenageary Rd,Holmstown Avenue,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
20,3239,Glenageary Rd,Crosthwaite Park,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
21,3240,Glenageary Rd,Corrig Road,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
22,3068,George's St,Glenageary Road,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
23,3069,George's St,Corrig Avenue,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
24,3070,George's St,Mulgrave Street,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
25,2041,George's St,Bloomfield,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
26,3071,Dunleary Hill,De Vesci Terrace,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
27,3072,Longford Place,Grosvenor Terrace,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
28,3073,Monkstown Rd,Carrickbrennan Road,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
29,3074,Monkstown Rd,Drayton Close,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
30,3075,Monkstown Rd,Queen's Park,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
31,3076,Monkstown Rd,Montpellier Parade,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
32,3077,Monkstown Rd,Montpellier Manor,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
33,3079,Newtown Ave,Seapoint Avenue,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
34,3080,Newtown Ave,Church,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
35,3081,Carysfort Avenue,Frascati Road,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
36,3084,Frascati Road,Frascati Centre,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
37,469,Rock Road,Mount Merrion Avenue,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
38,470,Rock Road,Blackrock Clinic,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
39,471,Rock Road,Blackrock College,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
40,472,Rock Road,Booterstown Ave,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
41,473,Rock Road,Grotto Avenue,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
42,4705,Rock Road,St Helen's Road,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
43,475,Rock Road,Bellevue Avenue,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
44,476,Rock Road,Merrion Gates,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
45,477,Merrion Road,Estate Avenue,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
46,478,Merrion Road,St. Vincent's Hospital,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
47,479,Merrion Road,Merrion Centre,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
48,480,Merrion Road,Ailesbury Road,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
49,481,Merrion Road,Merlyn Road,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
50,482,Merrion Road,Shrewsbury Road,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
51,483,Merrion Road,Simmonscourt Road,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
52,485,Ballsbridge,RDS,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
53,487,Pembroke Road,American Embassy,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
54,488,Northumberland Rd,Lansdowne Park,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
55,489,Northumberland Rd,St. Mary's Road South,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
56,490,Northumberland Rd,Haddington Road,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
57,491,Mount St,Grand Canal,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
58,492,Grattan St,Merrion Square,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
59,493,Merrion Sq,Holles Street,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
60,494,Clare Street,Lincoln Place,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
61,495,Westland Row,Pearse Station,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
62,400,Pearse Street,Shaw Street,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
63,279,O'Connell St,Henry Street,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
64,8,Parnell Square,Rotunda Hospital,7,From Loughlinstown / Cherrywood Towards Mountjoy Sq.
1,3544,Beechfield Mnr,Shanganagh Road,7b,From Shankill To Mountjoy Sq.
2,3552,Shanganagh Road,Rathsallagh,7b,From Shankill To Mountjoy Sq.
3,3553,Shanganagh Road,Hazelwood,7b,From Shankill To Mountjoy Sq.
4,3554,Shanganagh Road,Shanganagh Bridge,7b,From Shankill To Mountjoy Sq.
5,3555,Shanganagh Road,Seafield Road,7b,From Shankill To Mountjoy Sq.
6,3556,Shanganagh Road,The Elms,7b,From Shankill To Mountjoy Sq.
7,3557,Shanganagh Road,The Sycamores,7b,From Shankill To Mountjoy Sq.
8,7317,Wyattville Road,Shanganagh Road,7b,From Shankill To Mountjoy Sq.
9,3224,Wyattville Road,Ashlawn Park,7b,From Shankill To Mountjoy Sq.
10,3225,Church7b Rd,Willow Vale,7b,From Shankill To Mountjoy Sq.
11,3226,Church7b Rd,Granville Road,7b,From Shankill To Mountjoy Sq.
12,3227,Church7b Rd,Church7b Ave,7b,From Shankill To Mountjoy Sq.
13,3228,Church7b Rd,Church Road,7b,From Shankill To Mountjoy Sq.
14,3229,Church Road,Church7b Rd,7b,From Shankill To Mountjoy Sq.
15,7472,Rochestown Ave,Shopping Centre,7b,From Shankill To Mountjoy Sq.
16,3230,Rochestown Ave,Drumkeen Manor,7b,From Shankill To Mountjoy Sq.
17,3231,Rochestown Ave,Granitefield Manor,7b,From Shankill To Mountjoy Sq.
18,3246,Rochestown Ave,Johnstown Road,7b,From Shankill To Mountjoy Sq.
19,3247,Rochestown Ave,Sallynoggin Road,7b,From Shankill To Mountjoy Sq.
20,7056,Rochestown Ave,Somerton,7b,From Shankill To Mountjoy Sq.
21,4731,Rochestown Ave,Rehabilitation Hospital,7b,From Shankill To Mountjoy Sq.
22,2023,Abbey Rd,Kill Lane,7b,From Shankill To Mountjoy Sq.
