stop_id,stop_name,stop_code,stop_lat,stop_lon
8220DB000002,Parnell Square West,2,53.35224392,-6.263693193
8220DB000003,Granby Place,3,53.35230811,-6.263780716
8220DB000004,Rotunda Hospital,4,53.35256531,-6.264160838
8220DB000006,Saint Martin's Chapel,6,53.35274013,-6.264439156
8220DB000007,Rotunda Hospital,7,53.35283171,-6.264555613
8220DB000008,Parnell Square West,8,53.35326307,-6.265169028
8220DB000010,Parnell Square West,10,53.35338312,-6.265389489
8220DB000011,Upper Dorset St (St.Joseph's Parade),11,53.35709832,-6.264367218
8220DB000012,Upper Dorset St (St.Joseph's Parade),12,53.35678741,-6.264620231
8220DB000014,Lower Dorset Street,14,53.35853956,-6.262731094
8220DB000015,Lower Dorset Street,15,53.36024874,-6.260978774
8220DB000016,John Paul Park,16,53.36641872,-6.305628132
8220DB000017,Outside Train Station,17,53.36306934,-6.258399655
8220DB000018,Lower Drumcondra Road,18,53.3658465,-6.255927152
8220DB000019,Lower Drumcondra Road,19,53.36713453,-6.25549885
8220DB000021,Saint Patrick's College,21,53.370092,-6.254295947
8220DB000022,Home Farm Road (Achill Road),22,53.37350339,-6.252788732
8220DB000023,Ferguson Road,23,53.37422806,-6.256245983
8220DB000024,Home Farm Road,24,53.37513272,-6.260342306
8220DB000025,Rathlin Road,25,53.37589947,-6.263617736
8220DB000027,Ballymun Road (Griffith Avenue),27,53.37943874,-6.266570239
8220DB000028,Glasnevin Tennis Club,28,53.38157842,-6.265987247
8220DB000029,Ballymun Road,29,53.38348825,-6.265669101
8220DB000030,Pope John Paul II Park,30,53.37032249,-6.304571486
8220DB000031,Maolbuille Road,31,53.38603301,-6.268843052
8220DB000032,Saint Pappin's Road,32,53.38619557,-6.271377201
8220DB000033,Glasnevin Drive,33,53.38871771,-6.271756115
8220DB000035,Dean Swift Road,35,53.38620679,-6.270910693
8220DB000036,Saint Pappin's Road,36,53.38612685,-6.26787707
8220DB000037,DCU Ballymun Road,37,53.38534618,-6.264871956
8220DB000038,Ballymun Road,38,53.38223638,-6.265494497
8220DB000039,Ballymun Road (Griffith Avenue),39,53.38041397,-6.265643736
8220DB000040,Mobhi Road,40,53.37666077,-6.264668969
8220DB000041,Home Farm Road,41,53.37555905,-6.261842985
8220DB000042,Ferguson Road,42,53.37465005,-6.257446169
8220DB000043,Home Farm Road (Achill Road),43,53.37386078,-6.253871269
8220DB000044,Homefarm Road,44,53.37301719,-6.252117283
8220DB000045,Upper Drumcondra Road,45,53.36988298,-6.254139184
8220DB000046,Botanic Avenue,46,53.36715052,-6.255362951
8220DB000047,Near Train Station,47,53.36390692,-6.257283606
8220DB000048,Lower Drumcondra Road,48,53.36231961,-6.258760798
8220DB000049,Lower Dorset Street,49,53.35995954,-6.260870353
8220DB000050,Lower Dorset Street,50,53.35856872,-6.262264155
8220DB000051,Upper Dorset St (Temple Street),51,53.35781939,-6.263271207
8220DB000052,Upper Dorset St (St.Joseph's Parade),52,53.35664238,-6.264535983
8220DB000053,North Circular Road (Lower Dorset Street),53,53.35998798,-6.262822417
8220DB000054,North Circular Road (Mater Hospital),54,53.36014451,-6.265550569
8220DB000055,Mater Hospital Mortuary,55,53.36041139,-6.268454564
8220DB000056,Cabra Road (North Circular Road),56,53.36076081,-6.276448736
8220DB000057,Cabra Road (North Circular Road),57,53.36076298,-6.276598899
8220DB000058,Cabra Road (Charleville Road),58,53.36093705,-6.281189548
8220DB000059,Cabra Road (near Annamoe Terrace),59,53.36107981,-6.284864955
8220DB000060,Cabra Road (Quarry Road),60,53.36123258,-6.289246167
8220DB000063,Faussagh Avenue,63,53.36679222,-6.29273509
8220DB000064,Faussagh Avenue (Church),64,53.36707938,-6.295218122
8220DB000065,Faussagh Avenue (Dingle Road),65,53.36724545,-6.298036616
8220DB000066,Faussagh Avenue (Dingle Road),66,53.36729467,-6.300859781
8220DB000068,Ventry Drive,68,53.36906831,-6.304230572
8220DB000069,Ventry Park Estate,69,53.37138337,-6.303327054
8220DB000071,Pope John Paul II Park,71,53.37024849,-6.304424142
8220DB000072,Ventry Drive,72,53.36896052,-6.304234854
8220DB000073,Faussagh Avenue (Dingle Road),73,53.36739134,-6.30070566
8220DB000074,Faussagh Avenue (Church),74,53.36716366,-6.295455193
8220DB000075,Faussagh Avenue,75,53.36653803,-6.29130266
8220DB000077,Cabra Road (Quarry Road),77,53.36130897,-6.289558636
8220DB000078,Cabra Road (near Annamoe Terrace),78,53.36112995,-6.283976458
8220DB000079,Cabra Road (Charleville Road),79,53.36101205,-6.280780851
8220DB000080,Cabra Road (North Circular Road),80,53.36085398,-6.276054324
8220DB000081,North Circular Road (Phibsborough Road),81,53.36087553,-6.271951611
8220DB000082,Royal Canal Bank,82,53.36079055,-6.271669574
8220DB000083,North Circular Road (Mater Hospital),83,53.36027027,-6.265545461
8220DB000084,North Circular Road (Leo Street),84,53.36015358,-6.263702146
8220DB000085,Homefarm Road,85,53.37390318,-6.251855554
8220DB000086,Garda Station,86,53.37605,-6.251151369
8220DB000087,Sherkin Gardens,87,53.37675151,-6.254865268
8220DB000088,Walnut Rise,88,53.37728682,-6.257669185
8220DB000089,Griffith Avenue (Lambay Road),89,53.37802668,-6.261562105
8220DB000090,Ballymun Road (St.Pappin's Road),90,53.38638531,-6.265250648
8220DB000091,Ballymun Road (Glasnevin Avenue),91,53.38842767,-6.265393116
8220DB000092,Ballymun Library,92,53.38983712,-6.264659214
8220DB000093,Ballymun Road (Opp Shanlis Road),93,53.39229249,-6.264153341
8220DB000094,Civic Centre,94,53.39603476,-6.26437696
8220DB000102,Balbutcher Lane (Árd Na Meala),102,53.39776387,-6.267705193
8220DB000104,Balbutcher Lane (Carrig Road),104,53.39969927,-6.276604703
8220DB000105,Balbutcher Lane (Cranogue Road),105,53.40292828,-6.281753183
8220DB000107,Balbutcher Lane (Cranogue Road),107,53.40203541,-6.279668587
8220DB000108,Knowth Court,108,53.3997996,-6.27670592
8220DB000110,Balbutcher Lane (Árd Na Meala),110,53.39793973,-6.268675528
8220DB000112,Civic Centre,112,53.39614564,-6.263966435
8220DB000113,Comprehensive School,113,53.39226774,-6.263688227
8220DB000114,Ballymun Road (Shanliss Road),114,53.39133332,-6.263711229
8220DB000115,Ballymun Road (Albert College Drive),115,53.38793714,-6.265037196
8220DB000116,Griffith Lawns,116,53.37769324,-6.259651718
8220DB000117,Walnut Rise,117,53.37736569,-6.257530686
8220DB000118,Sherkin Gardens,118,53.37664256,-6.253562055
